id,onerank,tworank,namec,namee,jianj,state,due,raw,foreach,ways
,农作物-禾木科,水稻,稻瘟病,Rice blast,异名  稻热病；火烧瘟；吊颈瘟；叩头瘟。水稻三大主要病害之一，各稻区普遍发生，一般减产幅度为10％～20％，严重时可达40％～30％，甚至颗粒无收,稻瘟病可分为苗瘟、叶瘟、节瘟、穗颈瘟和谷粒瘟几种，其中以叶瘟发生最为普遍，穗颈瘟为害最重。(1)苗瘟。一般在秧苗三叶期前发病，无明显病斑，表现为苗基部灰黑色，秧苗上部黄褐色，叶片卷缩，植株枯死。(2)叶瘟。可分4种类型：①慢性型。病斑为梭型，两端常有沿叶脉延伸的褐色坏死线，边缘褐色，中间灰白色，外围有黄色晕圈，潮湿时背面常有灰绿色霉层。急性型。病斑为暗绿色近圆至椭圆形的病斑，叶片正反两面都有大量灰色霉层。③褐点型。多在气候干燥时抗病品种上发生，呈褐色小点，不产生孢子，无霉层。④白点型。多在感病品种嫩叶上出现，呈圆形白色小点，无霉层。(3)节瘟。节间变黑，潮湿时节上产生灰绿色霉层。(4)穗颈瘟。穗颈和枝梗感病后变褐色，发病早而重的穗子枯死呈白穗，发病晚，稻穗秕谷增多。(3)谷粒瘟。在谷粒的护颖、颖壳上产生黑褐色小斑点。 ,(1)病期。四叶期至分蘖盛期和抽穗初期最易发病。叶片从40％展开至完全展开后的2天内最易感病。穗颈以始穗期最易感病，抽穗6天后抗性逐渐增强，13天以后很少感病。(2)气候因素。温度和湿度对发病影响最大，其次是光和风。适温高湿，有雨、雾、露存在条件下有利于发病。水稻处于感病阶段，气温在20～30℃，尤其在24～28℃，阴雨天多，相对湿度保持在90％以上，易引起稻瘟病流行。分蘖期和抽穗期遇持续低温、多雨、寡照天气，易引起叶瘟和穗茎瘟流行。(3)栽培因素。旱育秧苗瘟发病严重。种子带菌，引起秧苗发病。病稻草多稻瘟病的初侵染源广，来年可能发病重。偏施氮肥，稻株徒长，表皮细胞硅化程度低，易发病。长期深灌或冷灌，土壤缺氧，产生有毒物质，妨碍根系生长，会加重病情。,病原为灰梨孢Pyricularia grisea (Cooke) ,(1)越冬。病菌以菌丝体和分生孢子在稻草、病谷及种子上越冬。带病种子、病稻草堆和以稻草沤制而未腐熟的肥料，是第二年病害的初侵来源。(2)初侵染。越冬病菌在第二年产生分生孢子，借风雨传播到稻株上，形成中心病株。病部形成的分生孢子，借风雨传播进行再侵染。播种带菌种子可引起苗瘟。(3)侵入。当分生孢子着落在稻株表面后，有水条件下，在15～32℃时均能萌发，形成附着胞，产生侵入丝。气温低于13℃或超过35℃时，病菌均不能侵入。(4)传播。风是孢子飞散的必要条件，雨、露、光等能促进孢子脱离。遇阴雨天气时，孢子可全天释放。 ,"因地制宜地选用抗病品种。秧田期以前彻底处理完病稻草，消灭越冬菌源。施足基肥，巧施追肥，灌水应以深水返青，浅水分蘖，晒田拔节和后期浅水为原则。增施硅肥可有效减轻发病。(2)种子处理：播种前用40％多菌灵可湿性粉剂、70％甲基硫菌灵可湿性粉剂、50％稻瘟净乳油、40％异稻瘟净乳油浸种，早稻用1 000倍药液浸种48～72小时，晚稻用500倍药液浸种24小时。或使用18%多?福?甲枯悬浮种衣剂1∶30～40(药种比)，或20%多?福悬浮种衣剂1∶40～50(药种比）。(3)药剂防治：2～3叶期发生苗瘟，用6％施稻灵防治1次。移栽时，用25％使百克乳油1500倍液，或20％三环唑乳油750倍液浸秧根3小时。发病季节叶，每亩喷施20%稻瘟酰胺悬浮剂10～20克，或25%咪鲜胺乳油15～25克，或30%稻瘟灵乳油30～45克，或50%异稻瘟净乳油50～60克，或50%甲基硫菌灵可湿性粉剂62～75克，或8%烯丙苯噻唑颗粒剂130～260克，或20%丙硫多菌灵悬浮剂15～20克，或18%丙灵?多菌灵可湿性粉剂12.6～16克，或30%稻瘟灵乳油30～45克，或40%异稻?稻瘟灵乳油40～60克，或20%三苯基乙酸锡可湿性粉剂46～70克，或50%三环?多菌灵可湿性粉剂25～35克，或20%井?唑?多菌灵可湿性粉剂20～25克，或20%三环唑可湿性粉剂15～20克，或50%三环?杀单可湿性粉剂50～60克，或20%三环?异稻可湿性粉剂30～35克，或18%三环?烯唑醇悬浮剂7.2～9克，或45%硫?三环可湿性粉剂45～72克，或20%唑酮?三环唑可湿性粉剂20～30克，或45%硫磺?三环唑可湿性粉剂55～72克，或30%稻灵?异稻乳油35～45克，或25%多菌灵可湿性粉剂50克，或66%多?酮可湿性粉剂39.6～46.2克，或25%多?硫可湿性粉剂80～90克，或28%多?井悬浮剂42～56克，或5%丙烯酸?噁霉?甲霜水剂5～7.5克，或20%高渗乙蒜素乳油15～18克，或15%苯乙锡?井可湿性粉剂12～18克，或50.5%春雷?硫可湿性粉剂75～80克。 

",
,农作物-禾木科,水稻,水稻恶苗病,Rice bakanae disease,"异名  水稻徒长病
。一般发病田块病株率在3%以下，少数发病重的田块病株率可达40%以上，减产率可达10%～40%。全国各地均有发生。 ",(1)苗期。病株多表现为纤细、瘦弱、叶鞘拉长，比健株高出近1/3，色淡，叶片较窄，根系发育不良。少数病株比健株矮小。大部分病株在苗期即枯死，少数病株移栽后25天内枯死。(2)本田期。本田期有3种类型病株：①徒长型。病株表现叶鞘拉长，比健株高约1/3，分蘖少甚至不分蘖。叶片狭窄，并自下而上逐渐枯黄。中后期出现倒生根，叶鞘变褐，根系发黑，后期茎秆变软，整株枯死，枯死株上出现白色至粉白色霉层。普通型。病株高矮与健株相当，叶色相近，有些发病快，2～3天即出现倒生根，并很快枯死。有些发病持续时间很长，除倒生根外，病株外表看不出其他症状，至20天或更久才见枯黄。③早穗型。病株表现为提早抽穗，约比健株早3～7天，且穗头较高，穗小，经6～10天即成白穗，未成白穗的籽粒也不饱满。,(1)发病期。第1峰期出现在秧田期，一般于播种后15天左右出现；第2峰在水稻分蘖高峰期出现；第3峰在水稻孕穗期出现。(2)气候因素。高温有利于病害发生；水稻抽穗后若遇到高温多雨，可提高种子带菌率，并且加深侵染部位。(3)栽培因素。种子带菌率越高，发病越重。肥床旱育秧田发病严重，地膜秧田病株率明显高于露地秧田。高温催芽、苗床高温管理，发病重。土温在35℃时，病菌最易侵害稻株。种子和秧苗有外伤时，有利于病菌侵入。,病原为串珠镰孢菌Fusarium moniliforme ,(1)越冬。病菌以菌丝体在种子内部和表面越冬，或以分生孢子在种子表面越冬。带菌种子是主要初侵染源。(2)侵入。种子萌发后，病菌从芽鞘、根部侵入，引起秧苗发病。病株产生的分生孢子可从伤口侵入，感染健苗，引起再侵染，使大田发病。水稻扬花时，分生孢子传染到花器上，产生病种子。脱粒时，病种子上的分生孢子黏附在无病种子上。,"(1)种子处理：浸种药剂可选用：用25％施宝克5000倍液，或10%浸种灵3000倍液，或25％辉丰百克4000倍液浸种，或12%咪鲜?杀螟可湿性粉剂300～500倍液，或10%二硫氰基甲烷乳油12.5～20mg/kg，或15%噁霉灵可湿性粉剂115～150mg/kg，或17%杀螟?乙蒜可湿性粉剂200～400倍液，或2.5%咯菌腈悬浮种衣剂5～7.5克/100千克种子，或20%代铵?多悬浮剂200～300倍液。浸种60小时后不必淘洗，即可催芽播种。浸种灵易光解，浸种时一定要避光，以免影响药效。种子包衣药剂可选用：0.5%咪鲜胺悬浮种衣剂按药种比1∶（30～40)，或15%多?福?甲枯悬浮种衣剂1:（30～50)，或18%多?福?甲枯悬浮种衣剂1:（30～40)，或18%多?福?咪鲜悬浮种衣剂1:（40～50)，或15%多?福悬浮种衣剂225～300克/100千克种子，或20%福?甲枯?克悬浮种衣剂1:（40～50)拌种药剂可选用：0.78%多唑?多菌灵拌种剂233～312克/100千克种子，或3.5%咪鲜?甲霜灵粉剂按药种比1∶(80～100)，或2.5%咯菌腈悬浮种衣剂10～15克/100千克种子。(2)农业防治：选用抗病品种和无病种子。采取小苗带土移栽。实行轮作倒茬，杜绝带病残体入田，发现病株及时拔除并集中烧毁或深埋。带病稻草应及早作燃料烧掉，或堆沤肥料，充分腐熟后才能施用。严禁用病稻草催芽、扎秧把、覆盖秧床，也不要将病稻草堆放在水稻田边。采用适氮、高钾的肥水管理方法。(3)药剂防治：在旱育秧的秧苗针叶期，用25％咪鲜胺乳油1500倍液喷雾。田间发现病株后，每亩用25％施宝克乳油4毫升对水喷雾。在制种田，母本齐穗至始花期每亩用25％咪鲜胺乳油7毫升加25％三唑酮乳油3毫升，对水50kg喷雾。另外，还可以选用3.2%噁霉?甲霜水剂3～4克/亩，或30%多?福可湿性粉剂600～1000mg/kg，或，或45%福?酮可湿性粉剂750～1500mg/kg，或50%多?硫?杀螟可湿性粉剂800～1000mg/kg。 
",
,农作物-禾木科,水稻,水稻烂秧 ,Seed and seedling rot of rice,异名  水稻烂种，水稻烂芽，水稻死苗。水稻烂秧是烂种、烂芽和死苗的统称。扎根以前，幼芽跷脚，黑头黑根，以及腐烂死亡，统称烂芽；播种后种子不发芽，逐渐发黑腐烂，称烂种；幼苗在二、三叶期死亡，称死苗。 ,烂秧可以分为生理性烂秧和传染性烂秧。(1)生理性烂秧。比较常见的类型有淤籽、露籽、硗脚、倒芽、钓鱼钩和黑根。(2)传染性烂秧。是由真菌引的，开始时零星发生，以后迅速向四周蔓延，严重时出现整片稻秧死亡。按照症状不同，传染性烂秧可分为青枯型和黄枯型。青枯型病株最初叶尖停止吐水，继而心叶突然萎蔫，卷成筒状，随后下部叶片很快失水萎蔫卷筒，直至全株呈污绿色而枯死；病株根系呈暗色，根毛稀少。黄枯型病株从下部叶片开始发病，由叶尖向叶基逐渐变黄，向上部叶片蔓延至心叶，最后植株基部变褐软化，直至全株呈黄褐色枯死；病株根系呈暗色，根毛稀少，根易拔起。,(1)气候因素。苗期遇低温阴雨，易发病。冷后暴晴，温差过大时，也容易发病。(2)农业防治：施用未腐熟的有机肥，易发病。种子贮藏期受潮，催芽温度过高，或长时间过低，易引起烂种。秧田水深缺氧或暴热、高温烫芽等，易引起烂芽。 ,生理性烂秧。主要由生长环境不适宜起。(2)传染性烂秧。是由真菌引起的，主要病原菌有禾谷镰刀菌Fusarium graminearum Schw.、立枯丝核菌Rhizoctonia solani Kühn. 、稻腐霉Pythiumoryzae Ito et Tokun.、层出绵霉Achlya prolifera (Nees) de Bary.等。 ,(1)越冬。病原菌在土壤和病残体上越冬。(2)侵入。条件适宜时产生分生孢子、游动孢子等，借风雨和流水传播，或萌发形成丝在幼苗间蔓延传播，从伤口侵入或直接侵入幼苗。,种子处理：每千克种子用350克/升精甲霜灵种子处理乳剂5.25～8.75克/100千克拌种；或每千克种子用58.3～87.5毫克浸种，或用80%乙蒜素乳油6000～8000倍液浸种。(2)农业防治：改进育秧方式，因地制宜采用旱育秧稀植技术，或采用薄膜覆盖育秧。秧田应选在肥力中等，排灌方便，地势较高的平整田块。精选种子，浸种前晒种1～2天。芽期保持畦面湿润，不能过早上水。在有暴风雨、冰雹或霜冻时，短时间灌水护芽。秧田施足基肥，追肥少量多次，提高磷钾肥的比例。(3)土壤消毒。播种后，每/m?秧田用绿亨一号1～1.5克与过筛的湿润细土10～20千克充分拌匀，均匀撒于秧田上。(4)秧田喷雾。对老秧田或灌溉污水的秧田，在发病前用绿亨2号对水800～1 000倍喷雾。对由绵腐菌及水生藻类为主引起的烂秧发现中心病株后，选用25％甲霜灵可湿性粉剂800～1000倍液，或65％敌克松可湿性粉剂700倍液喷雾。对立枯菌、绵腐菌混合侵染引起的烂秧，选用40％灭枯散可溶性粉剂1000倍液浇灌。此外也可喷洒30％立枯灵可湿性粉剂500～800倍液，或广灭灵水剂500～1000倍液，喷药时应保持薄水层。,
,农作物-禾木科,水稻,水稻苗疫病,Phytophthora blight of rice,长江流域及其以南地区发生较多，发生严重时，病株率可达50%以上。,发病初期，叶片上产生黄白色小圆斑，后扩展成不规则水渍状条斑，灰绿色，病斑融合后可使叶片纵卷或折倒。湿度大时病斑长出稀疏的白色霉层。最后病斑变褐，中央灰褐色，常造成稻苗中、下叶片局部枯死，严重时整叶或整株死亡。 ,主要在早、中稻秧苗和早稻大田前期发生，三叶期前后秧苗最易感病。发病适宜温度16～21℃，气温超过25℃病害受抑。阴雨连绵有利于发病。秧田水淹或深灌有利发病。,草莓疫霉稻疫霉变种Phytophthora fragariae Hickm. Var. oryzo-bladis Wang et Lu.。,病原以卵孢子在土壤中越冬。第二年条件适宜时侵入为害，病斑上形成新的孢子囊，游动孢子随水流进行传播扩散。 ,"(1)农业防治：浅水勤灌，防止串灌，适当增施磷钾肥。 
                  (2)化学防治：秧苗三叶前后和大田发病初期，喷洒64%杀毒矾可湿性粉剂600倍液，或72.2%普力克水剂800倍液，或77%可杀得可湿性粉剂700倍液喷雾防治。 ",
,农作物-禾木科,水稻,水稻叶黑粉病,Rice leaf smut ,在我国中部和南部稻区发生普遍。过去主要发生于晚稻后期中下部衰老叶片上，影响不大。但近年局部地区在杂交稻上发生普遍，明显影响稻株结实率和谷粒充实度。,主要为害叶片，偶也侵害叶鞘及茎秆。在叶片上沿叶脉出现黑色短条状病斑，稍隆起，长1～4mm，宽0.2～0.5mm，病斑周围组织变黄。发病严重时叶片上线条状病斑密布，有的互相连合为小斑块，致叶片提早枯黄，甚至叶尖破裂成丝状。,"土壤贫瘠尤其是缺磷、缺钾的田块，发病重。田边、路旁或营养不良的植株基部叶片易发病。早熟品种较晚熟品种，发病重。任何诱发植株生活力衰退的因素都有利于本病发生。 
",病原为稻叶黑粉菌Entyloma oryzaeSyd.，属担子菌亚门叶黑粉菌属。(1)形态。①冬孢子堆。黑色，长方形，有的椭圆形或近圆形，埋生在寄主表皮下，散生，大小(0.5～4)mm×(0.5～1.4)mm。冬孢子近球形或多角形，厚壁，表面光滑，暗褐色，大小(7.5～12.5)?m×(7.5～10)?m。冬孢子萌发时生出短棍棒状无色的先菌丝，顶生担孢子3～8个。担孢子淡橄榄色，纺锤形。担孢子再生次生小孢子。(2)特性。冬孢子萌发温度范围为21～34℃，最适温度为28～30℃。 ,病菌以冬孢子在病残体或病草上越冬。第二年夏季萌发，产生担孢子和次生担孢子，借风雨传播侵入叶片。,(1)农业防治：选用抗病品种。妥善处理病草，避免病草回田作肥。加强肥水管理，适当增施磷钾肥，防止后期早衰。(2)化学防治：结合防治穗期多种病害，做好对稻瘟病、叶尖干枯病等病害的喷药预防，可兼治本病，一般情况下不必单独喷药防治。 ,
,农作物-禾木科,水稻,水稻云形病,Rice leaf scald Micro ,异名   水稻叶黑肿病。单季晚稻稻区发生普遍，严重时，发病率可高达50%以上，减产15%～20%。该病在我国主要分布于广东、江西、湖南、浙江、江苏、上海、安徽等省市。,主要为害叶片，也可为害穗部。叶片多从叶尖、叶缘处开始发病，初生水渍状小斑，后逐渐呈波纹状扩大。潮湿时病部呈污褐色湿润状，病健交界不明显。干燥时病部呈黄褐色至灰褐色，病健交界明显。叶片枯死部分常见波纹状褐色线条，为本病的典型特征。4～5天后，老病部上可见针头状突起的小黑点。穗轴和枝梗受害，病斑暗褐或紫褐色。 ,扬花灌浆期易发病且病情较重。连绵阴雨，相对湿度达98%以上，气温19～25℃是病害流行条件。适温多湿，尤其台风雨频繁的年份有利发病。叶片窄细硬直的品种较抗病。 ,稻格氏霉Gerlachia oryzae(Hashioka et Yokogi)W.Gams.。 ,病原主要以菌丝体在病组织内越冬，也能以分生孢子附着在种子表面越冬。分生孢子借气流、雨水溅射和小昆虫传播，从叶片伤口或水孔侵入致病。发病后，病部产生新的分生孢子进行再侵染。 ,(1)农业防治：合理施肥，不偏施氮肥，适当增施磷钾肥。浅水灌溉，适时搁田。(2)化学防治：发病初期喷洒40%克瘟散乳油1000倍液，或20%三唑酮可湿性粉剂800倍液，或40%禾枯灵可湿性粉剂1 000倍液，或50%多菌灵可湿性粉剂500倍液。 ,
,农作物-禾木科,水稻,水稻菌核秆腐病,Rice sclerotial stem rots,异名  水稻菌核病，水稻秆腐病。水稻菌核秆腐病主要是指小黑菌核病和稻小球菌核病，两病单独或混合发生。我国各稻区均有发生。,(1)茎秆。发病茎秆腔内充满灰白色菌丝和黑褐色小菌核。(2)叶鞘。近水面叶鞘上生褐色小斑，后扩展为黑色纵向坏死线及黑色大斑，病斑上生有稀薄浅灰色霉层，病鞘内常有菌丝块。病斑继续扩展使茎基成段变黑软腐，病部呈灰白色或红褐色而腐朽。,(1)品种因素。单季晚稻较早稻，发病重。高秆品种较矮秆品种抗病，糯稻>籼稻>粳稻。(2)气候因素。雨日多，日照少，昼夜温差大，利于病害发生。(3)栽培因素。田间菌核数量多，则发病率高。长期灌水或深灌、排水不好的田块，发病重。中期烤田过度或后期脱水早或过旱，发病重。氮肥施用过多、过迟，缺乏有机肥和磷钾肥或后期脱肥早衰，发病重。抽穗后易发病，虫害重伤口多，发病重。,"病原分别为小黑菌核病菌Helminthosporium sigmoideum var. irregulare 
                  Crall.et Tull.和小球菌核病菌H. sigmoideum 
                  Cav.。(1)形态。①小黑菌核病菌。分生孢子单生或数枝簇生。分生孢子纺缍形，或呈“S”形，具3～4个隔膜，大小(50～74)?m×(8～12)?m，顶细胞上生卷须状长丝。菌核大小约0.15mm，深橄榄色。小球菌核病菌。分生孢子梗深褐色，不分枝。分生孢子新月形，大小(41～63)?m×(11～15)?m，有0～4个隔膜，大多数为3个隔膜，中央两细胞暗褐色，两端细胞色淡。菌核球形，大小约0.25mm，菌核有内外两层，外层色黑，内层色淡褐色。(2)特性。病菌的发育温度为11～35℃，最适温度为25～30℃。 ",(1)越冬。病菌以菌核在稻草、根茬、稻种中或散落在田间越冬，成为第二年侵染的主要病源。(2)初侵染。稻田灌水整地时，菌核漂浮在水面，插秧后附在近水面的稻株叶鞘上，在适宜的环境条件下，萌发长出菌丝，从叶鞘伤口或叶鞘表面侵入，在叶鞘组织内蔓延扩展形成病斑。水面的菌核也可直接产生分生孢子进行初侵染。(3)再侵染。病斑和水面上的菌核的表面可产生浅灰色的分生孢子层。分生孢子借灌溉水、气流、雨水和昆虫传播，引起再侵染，但主要以病健株接触短距离再侵染为主。 ,"(1)农业防治：选用抗病、耐病品种。有条件的实行水旱轮作。插秧前打涝菌核。浅水勤灌，适时晒田，但要注意防止后期断水过早、过重。施足底肥，适当追肥，增施磷钾肥。病稻草要高温沤制或另行堆放。收割时要齐泥割稻。搞好虫害防治。在飞虱、叶蝉、螟虫等发生期适时用药，减少伤口。(2)化学防治：在水稻拔节期和孕穗期，可喷施40％菌核净可湿性粉剂800倍液，或或70％甲基硫菌灵可湿性粉剂1000倍液，或50％多菌灵可湿性粉剂800倍液，或50％速克灵可湿性粉剂1500倍液，或50％乙烯菌核利可湿性粉剂1000～1 500倍液。 
",
,农作物-禾木科,水稻,水稻黄萎病,Rice rice yellow dwarf ,南方各稻区均有发生。,苗期发病植株矮缩明显，叶短小，叶片和叶鞘呈黄化状，无花叶现象，病节呈嫩黄色，分蘖丛生。成株发病，先从心叶发黄，而后叶鞘黄化，最后全株褪色变黄，分蘖黄化矮缩，只有健株的一半高，并在分蘖上长出不定根。发病早的植株多枯死，发病迟的呈包茎穗，结实不良。 ,病原主要在黑尾叶蝉体内和几种野生杂草上越冬，成为翌年初侵染源。长江中下游稻区早稻染病后于7月中旬后显症。7月后孵化的叶蝉从早稻田病株上获毒，迁飞到双季晚稻上传毒，引致晚稻发病。越冬代若虫从晚稻病株上获取毒源后越冬。生产上生长后期染病的，减产较少。但染病稻茬长出的再生稻苗或再生稻仍可发病，成为侵染源。,类菌原体Mycoplasma-like organism简称MLO。,主要靠黑尾叶蝉、二点黑尾叶蝉、二条黑尾叶蝉等叶蝉传毒，但不能经卵传给下一代。病原主要在黑尾叶蝉体内和几种野生杂草上越冬，成为第2年初侵染源。 , 选用抗病品种、抗虫品种。积极防治黑尾叶蝉。 ,
,农作物-禾木科,水稻,水稻矮缩病,Rice dwarf ,异名  水稻普通矮缩病、普矮、青矮等。主要分布在南方稻区。,感病植株生长停滞、矮缩，分蘖增多，叶片僵直，叶色浓绿，生长后期病稻不能抽穗结实。叶片症状有白点型和扭曲型两种。白点型叶上出现与叶脉平行的虚线状黄白色条斑，基部较明显。始病叶以上新叶都出现条斑，以下老叶一般不出现。扭曲型即在光照不足情况下，心叶抽出呈扭曲状，色泽淡黄，叶缘出现波状缺刻。穗期发病，多在剑叶叶片和叶鞘上出现白色条斑，穗颈缩短，形成半包颈穗或包孕颈穗。 ,(1)毒源。带毒虫量是影响该病发生的主要因子，虫源多，发病重。(2)气候因素。冬春暖、伏秋旱，利于发病。 ,病原为水稻矮缩病毒Rice dwarf virus，简称RDV，属植物呼肠弧病毒组病毒。(1)形态。病毒粒体为球状多面体，直径75nm，粒体内含有双链核糖核酸。在白色斑点的叶部细胞内，含有近球形内含空胞的X体。(2)特性。病毒钝化温度40～45℃，稀释限点0.1～10万倍，体外存活期48小时，病毒粒体多集中在病叶的褪绿部分。 ,(1)传播。该病毒可由黑尾叶蝉、二点黑尾叶蝉和电光叶蝉传播，以黑尾叶蝉为主。带毒叶蝉能终身传毒，可经卵传染。黑尾叶蝉在病稻上吸汁最短获毒时间5分钟。获毒后需经一段循回期才能传毒。水稻感病后经一段潜育期显症，苗期至分蘖期感病的潜育期短，以后随龄期增长而延长。(2)越冬。病毒在黑尾叶蝉体内越冬，黑尾叶蝉在看麦娘上以若虫形态越冬，第二年春天羽化迁回稻田为害。早稻收割后，迁至晚稻上为害，晚稻收获后，迁至看麦娘、冬稻等植物上越冬。 ,积极防治传毒昆虫是防治该病的关键。选用抗病品种。冬季彻底消除秧田、田埂、田边上的杂草。大田开始发病时，要立即排水，追施石灰、草木灰和磷、钾肥，并进行中耕搁田，促进新根生长。发病初期及早拔除病株，在秧田及水稻插后20天内进行田间排查，发现病株立刻拔除，并补插健壮的秧苗。,
,农作物-禾木科,水稻,水稻高温为害,Rice High-Temperature damage ,异名  水稻高温障碍。水稻生理性病害，常发生于长江流域。,双季早稻的开花灌浆期正值盛夏高温季节，经常出现水稻高温热害，造成水稻结实率下降及稻米品质变劣、影响早稻生产。,高温加水稻植株的损害与水稻的生育时期关系密切。水稻在开花期，高温妨碍花粉成熟、花药的开裂、花粉在柱头上的发芽及花粉管的伸长，由此造成的不受精加水稻的为害最严重，这一时期是水稻对高温的敏感期，尤其是开花当天遇有高温胁迫，易诱发小花不育，造成受精障碍，严重影响结实率及产量。 ,[病因]是水稻的一种生理性病害。由高温引起。 ,,选用抗热品种。如籼稻中的优早3号、辐9136、珍油占等。粳稻的抗热品种，主要集中在辽宁、吉林、北京等北方稻区。适期播种，使水稻开花期避开高温胁迫的时间，减少损失。提倡施用多得稀土纯营养剂750克/hm2加水450kg，于灌浆至孕穗期喷。隔10～15d喷1次，连续2～3次。 ,
,农作物-禾木科,水稻,水稻纹枯病,Rice sheath blight,异名  水稻云斑病、水稻云纹病；俗称花秆、花脚瘟。世界各产稻区均有发生。主要引起鞘枯和叶枯，使水稻结实率低，瘪谷率增加，粒异名  水稻胡麻叶枯病。重下降，一般减产10％～30％，发生严重时，减产超过50％。,主要为害叶鞘，叶片次之，严重时可侵入茎秆并蔓延至穗部。(1)叶鞘。叶鞘近水面处产生暗绿色水渍状小斑点，后期扩大呈椭圆形，似云纹状，常多个病斑融合成大斑纹。条件适宜时，病斑边缘暗绿色，中央灰绿色，扩展迅速。天气干燥时，病斑边缘褐色，中央草黄色至灰白色。可导致植株倒伏或整株枯死。(2)叶片。叶片症状与叶鞘病斑相似，发病严重时，呈污绿色枯死。潮湿时以上病部均可见白色蛛丝状的菌丝，后期菌丝集结形成扁球形或不规则形的菌核，黏附在病斑上，易脱落。 ,(1)寄主抗病性。籼稻最抗病，粳稻次之，糯稻最感病；窄叶高秆品种较阔叶矮秆品种抗病；一般迟熟品种最抗病，早熟品种最感病。(2)感病期。孕穗至抽穗期为发病流行盛期，这一时期内最容易染病。(3)气候。气温28～32℃，连续几天降雨，田间湿度在100％，最有利于病害的流行。(4)栽培因素。长期深水灌溉发病严重；水稻生长繁茂，组织柔软，田间郁闭，湿度大，有利于病害的蔓延。 ,[病原]病原为立枯丝核菌Rhizoctonia solani Kühn.，属半知菌亚门。有性态为瓜亡革菌Thanatephorus cucumeris (Frank) Domk，属担子菌亚门。(1)形态。菌丝幼嫩时无色，老熟时浅褐色，有分枝，分枝处缢缩，在距分枝不远处有分隔。菌核由菌丝体交织纠结而成，初为白色，后变为暗褐色，扁球形、肾形或不规则形，表面粗糙，有少量菌丝与寄主相连，靠病斑的一侧稍凹陷。菌核大小不一，明显分为外层和内层，外层由10～30层死细胞构成，约占菌核半径的1/2左右。菌核具有萌发孔，菌核形成过程中通过萌发孔排出分泌物，菌核萌发时菌丝也由此伸出。担子倒卵形或圆筒形，顶生2～4个小梗，其上各着生1个担孢子。担孢子单胞，无色，卵圆形。(2)特性。菌丝生长温度为10～38℃，最适pH值为5.4～6.7。光照对菌丝生长有抑制作用。菌核在12～15℃时开始形成，在30～32℃时形成最多，超过40℃很难形成。菌核有很强的生活力，在干燥田里5个月仍有90%以上存活，21个月后还有50%以上存活，水淹半年也有33%存活。在土表、土下及水中越冬的菌核成活率较高。菌核在27～30℃和相对湿度95%以上时，1～2天就可萌发产生菌丝，6～10天后又可形成新的菌核。日光能促进菌核形成。条件适宜时，当年新生菌核不需要经休眠期或成熟期，即可萌发致病。③丝核菌菌丝融合群。茄丝核菌有12个菌丝融合群。水稻纹枯病主要为茄丝核菌第1菌丝融合群(AG-1)。在AG-1的各菌株间，其致病力也存在差异，可按病菌的培养性状核致病力划分为3个型，即A、B、C型，A型致病力最强，B型次之，C型最弱。从菌丝生长速度和菌核开始产生所需时间来看，R.solani AG-1和AG-4较快，而双核丝核菌AG-Bb较慢。在PDA上23℃条件下AG-1形成菌核需时3天，AG-4菌核形成需3～4天，AG-Bb菌核形成需3～4天。 ,(1)越冬。病菌主要以菌核在稻田里越冬，也能以菌丝和菌核在稻草和田边杂草上越冬。(2)侵染。漂浮在水面上的菌核粘附在稻株基部的叶鞘上，萌发菌丝侵入叶鞘组织，进行初侵染。发病后，病斑上形成的菌核随水漂浮，或靠菌丝蔓延进行再侵染。早稻菌核成为晚稻主要的病源。,农业防治：春耕灌水耙田时，捞去浪渣浮沫带出田外烧毁或深埋。及时铲除田边和田间杂草。施足基肥，早施追肥，避免偏施氮肥，增施磷钾肥。分蘖期浅灌，中耕后适当灌水，分蘖盛期后及时晒田，孕穗后实行干干湿湿的管水原则。(2)化学防治：水稻栽后15～20天，亩用20％稻脚青250克拌细土400千克，均匀撒入水稻田内。孕穗期和齐穗期喷施5％井冈霉素水剂500倍液，或33％纹霉净可湿性粉剂250倍液，或30％纹枯利可湿性粉剂1000倍液，或40％禾枯灵1 000倍液，隔10～15天后再喷1次。也可用25％敌力脱乳油2000倍液，或26.5％满穗悬浮剂3000倍液喷雾，只需用药１次。还可以选用（亩用量）：45%代森铵水剂36～54克，或70%甲基硫菌灵可湿性粉剂70～100克，2%嘧啶核苷类抗菌素水剂10～120克，或23%络氨铜水剂3.1～4.6克，或5%井冈霉素A可溶性粉剂3.5～5克，或28%多?井悬浮剂42～56克，或4.5%碱铜?井水剂4～5.3克，或12.5%井冈?蜡芽菌水剂3.75～6.25克，或50%井?噻?杀单可湿性粉剂60～75克，或40%井冈?三环唑可湿性粉剂20～30克，或12%井?烯唑可湿性粉剂4.8～7.2克，或12.5%烯唑醇可湿性粉剂4.8～6.25克，或16%井?羟烯腺可溶性粉剂4～7克，或或25%丁?井可湿性粉剂10～12.5。 ,
